"Dealer ID","Stock Number",Year,Make,Model,Trim,Vin,mileage,Price,Color,"Interior Color",Transmission,photo_urls,Description,Options,"Vehicle Type",Engine,Drive-train,"Fuel Type","Destination URL",New/Used,Certified,Doors,MSRP,Down-payment,"Fuel city min","Fuel city max","Highway city min","Highway city max",Title,"Date added","Car report",Condition
454545,13591,2013,Chevrolet,"Silverado 1500","LTZ Crew Cab 4WD",3GCPKTE77DG227865,"162,568","23,495",,,"6-Speed Automatic",/uploads/aiimg/images/autos/default_image_autos.aiimg-h70.jpg,description,Options,,"5.3L V8 OHV 16V FFV",4WD,,https://www.usedcarslewistonid.com/autos/2013-Chevrolet-Silverado-1500-Lewiston-4814,Used,Certified,0,0,0,-,-,-,-,"2013 Chevrolet Silverado 1500",,none,used
454545,13526,2015,Chevrolet,"Silverado 3500HD","LTZ Crew Cab Long Box 4WD",1GC4K0E87FF170999,"124,028","50,995",,,"6-Speed Automatic","/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-1.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-2.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-3.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-4.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-5.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-6.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-7.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-8.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-9.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-10.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-11.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-12.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-13.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-14.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-15.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-16.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-17.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-18.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-19.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-20.aiimg-h70.jpg,/uploads/autos/4751/2015-Chevrolet-Silverado-3500HD-Lewiston-4751-21.aiimg-h70.jpg",description,Options,,"6.6L V8 OHV 32V TURBO DIESEL",4WD,,https://www.usedcarslewistonid.com/autos/2015-Chevrolet-Silverado-3500HD-Lewiston-4751,Used,Certified,0,0,0,-,-,-,-,"2015 Chevrolet Silverado 3500HD",,none,used
454545,13456,2014,Ford,F-150,"XLT SuperCrew 6.5-ft. Bed 4WD",1FTFW1ET6EFB19144,"102,431","27,995",,,"6-Speed Automatic","/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-1.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-2.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-3.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-4.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-5.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-6.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-7.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-8.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-9.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-10.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-11.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-12.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-13.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-14.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-15.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-16.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-17.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-18.aiimg-h70.jpg,/uploads/autos/4712/2014-Ford-F-150-Lewiston-4712-19.aiimg-h70.jpg",description,Options,,"3.5L V6 TURBO",4WD,,https://www.usedcarslewistonid.com/autos/2014-Ford-F-150-Lewiston-4712,Used,Certified,0,0,0,-,-,-,-,"2014 Ford F-150",,none,used
454545,13321,2018,Chevrolet,"Silverado 1500","LTZ Crew Cab 4WD",3GCUKSEC3JG277328,"94,854","41,995",,,"6-Speed Automatic","/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-1.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-2.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-3.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-4.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-5.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-6.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-7.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-8.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-9.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-10.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-11.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-12.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-13.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-14.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-15.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-16.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-17.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-18.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-19.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-20.aiimg-h70.jpg,/uploads/autos/4622/2018-Chevrolet-Silverado-1500-Lewiston-4622-21.aiimg-h70.jpg",description,Options,,"5.3L V8 OHV 16V",4WD,,https://www.usedcarslewistonid.com/autos/2018-Chevrolet-Silverado-1500-Lewiston-4622,Used,Certified,0,0,0,-,-,-,-,"2018 Chevrolet Silverado 1500",,none,used
454545,13286,2016,Ford,F-150,"Lariat SuperCrew Sport 4x4",1FTEW1EG4GFD45281,"122,961","36,495",,,"6-Speed Automatic","/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-1.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-2.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-3.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-4.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-5.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-6.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-7.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-8.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-9.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-10.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-11.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-12.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-13.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-14.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-15.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-16.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-17.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-18.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-19.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-20.aiimg-h70.jpg,/uploads/autos/4607/2016-Ford-F-150-Lewiston-4607-21.aiimg-h70.jpg",description,Options,,"3.5L V6 TURBO",4WD,,https://www.usedcarslewistonid.com/autos/2016-Ford-F-150-Lewiston-4607,Used,Certified,0,0,0,-,-,-,-,"2016 Ford F-150",,none,used
454545,13533,2016,Ford,Explorer,"Sport 4WD",1FM5K8GT6GGA31233,"89,535","30,995",,,"6-Speed Automatic","/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-1.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-2.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-3.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-4.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-5.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-6.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-7.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-8.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-9.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-10.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-11.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-12.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-13.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-14.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-15.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-16.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-17.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-18.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-19.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-20.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-21.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-22.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-23.aiimg-h70.jpg,/uploads/autos/4768/2016-Ford-Explorer-Lewiston-4768-24.aiimg-h70.jpg",description,Options,,"3.5L V6 DOHC 24V",4WD,,https://www.usedcarslewistonid.com/autos/2016-Ford-Explorer-Lewiston-4768,Used,Certified,0,0,0,-,-,-,-,"2016 Ford Explorer",,none,used
454545,13568,2016,Ford,F-150,"Lariat SuperCrew 6.5-ft. Bed 4WD",1FTFW1EGXGKE68255,"126,639","35,995",,,"6-Speed Automatic","/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-1.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-2.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-3.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-4.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-5.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-6.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-7.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-8.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-9.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-10.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-11.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-12.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-13.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-14.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-15.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-16.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-17.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-18.aiimg-h70.jpg,/uploads/autos/4794/2016_Ford_F_150_Lewiston_4794-19.aiimg-h70.jpg",description,Options,,"3.5 V6",4WD,,https://www.usedcarslewistonid.com/autos/2016-Ford-F-150-Lewiston-4794,Used,Certified,0,0,0,-,-,-,-,"2016 Ford F-150",,none,used
454545,13343,2017,Chevrolet,"Silverado 3500HD","LTZ Crew Cab 4WD",1GC4K0CY3HF130697,"73,877","59,995",,,"6-Speed Automatic","/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-1.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-2.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-3.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-4.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-5.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-6.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-7.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-8.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-9.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-10.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-11.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-12.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-13.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-14.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-15.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-16.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-17.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-18.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-19.aiimg-h70.jpg,/uploads/autos/4637/2017-Chevrolet-Silverado-3500HD-Lewiston-4637-20.aiimg-h70.jpg",description,Options,,"6.6L V8 OHV 32V TURBO DIESEL",4WD,,https://www.usedcarslewistonid.com/autos/2017-Chevrolet-Silverado-3500HD-Lewiston-4637,Used,Certified,0,0,0,-,-,-,-,"2017 Chevrolet Silverado 3500HD",,none,used
454545,13590,2003,Chevrolet,"Silverado 1500","LS Ext. Cab Short Bed 4WD",2GCEK19T331171983,"162,313","10,995",,,"4-Speed Automatic","/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-1.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-2.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-3.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-4.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-5.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-6.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-7.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-8.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-9.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-10.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-11.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-12.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-13.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-14.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-15.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-16.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-17.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-18.aiimg-h70.jpg,/uploads/autos/2367/2003_Chevrolet_Silverado_1500_Lewiston_2367-19.aiimg-h70.jpg",description,Options,,"5.3L V8 OHV 16V",4WD,,https://www.usedcarslewistonid.com/autos/2003-Chevrolet-Silverado-1500-Lewiston-2367,Used,Certified,0,0,0,-,-,-,-,"2003 Chevrolet Silverado 1500 LS Ext. Cab Short Bed 4WD",,none,used
454545,13534,2015,Ford,Expedition,"EL Platinum 4WD",1FMJK1MTXFEF35904,"92,143","34,995",,,"6-Speed Automatic","/uploads/autos/4783/2015-Ford-Expedition-4783-1.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-2.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-3.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-4.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-5.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-6.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-7.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-8.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-9.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-10.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-11.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-12.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-13.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-14.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-15.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-16.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-17.aiimg-h70.jpg,/uploads/autos/4783/2015-Ford-Expedition-4783-18.aiimg-h70.jpg",description,Options,,"3.5L V6 DOHC 24V FFV",4WD,,https://www.usedcarslewistonid.com/autos/2015-Ford-Expedition-Lewiston-4783,Used,Certified,0,0,0,-,-,-,-,"2015 Ford Expedition",,none,used
454545,13547,2017,Ford,F-150,"XLT SuperCab 6.5-ft. Bed 4WD",1FTFX1EG9HFB55852,"111,066","28,995",,,"6-Speed Automatic","/uploads/autos/4777/2017-Ford-F-150-4777-1.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-2.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-3.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-4.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-5.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-6.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-7.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-8.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-9.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-10.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-11.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-12.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-13.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-14.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-15.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-16.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-17.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-18.aiimg-h70.jpg,/uploads/autos/4777/2017-Ford-F-150-4777-19.aiimg-h70.jpg",description,Options,,"3.5L V6 DOHC 24V",4WD,,https://www.usedcarslewistonid.com/autos/2017-Ford-F-150-Lewiston-4777,Used,Certified,0,0,0,-,-,-,-,"2017 Ford F-150",,none,used
