web-scraper-order,web-scraper-start-url,menu,menu-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,stock2,Vehicle Type,description,trim,certified,link,link-href
1652348670-7763,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,VA000006,2022,Vanderhall,Carmel GT,null,,6-Speed Automatic with Paddle Shifters and Shift Gauge,null,6-Speed Automatic with Paddle Shifters and Shift Gauge,null,null,null,null,null,"$43,950","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/BB/AB/BBABDEA6-D5B4-4C3C-9319-9409E16037D2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/41/E1/41E18348-0FF3-46A0-88AB-B26441CA1835.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/EA/D9/EAD98DFF-ACCA-4F2B-871F-26F8BAF42F77.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/D6/13/D613AF71-C5C7-4FDE-9636-78F1B55A078A.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Vanderhall 
Carmel GT",https://www.majorpowersports.com/New-Inventory-2022-Vanderhall-Motorcycle-Scooter-Carmel-GT-Major-Powersports-11859953?ref=list
1652348650-7756,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,ZEL21409,2022,Zero,SR/S Power Tank,null,,Clutchless direct drive,null,Clutchless direct drive,null,538ZFEZ74NCL21409,null,null,null,"$22,695","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/17158591-0-114354941.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Zero 
SR/S Power Tank",https://www.majorpowersports.com/New-Inventory-2022-Zero-Motorcycle-Scooter-SR-S-Power-Tank-Major-Powersports-12100231?ref=list
1652348513-7717,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,KAA18548,2021,Kawasaki,Z125 PRO,null,,"4-speed, return shift","4-stroke, 1 cylinder, SOHC, 2-valve","4-speed, return shift",null,JKABRRJ17MDA18548,389 mi,"Pearl Nightshade Teal, Metallic Flat Spark Black",null,"$3,695","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/39/E1/39E1E339-66C1-4BA8-A584-FC946A9E5579.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/01/74/01746FE0-73CF-40A0-8368-68733DD167C7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/D7/AC/D7AC4E77-C404-4A22-A0E3-03DCA99DF5D2.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2021
Kawasaki 
Z125 PRO",https://www.majorpowersports.com/Pre-owned-Inventory-2021-Kawasaki-Motorcycle-Scooter-Z125-PRO-Major-Powersports-12049482?ref=list
1652348548-7722,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR004489,2021,SSR Motorsports,SR70AUTO,null,,null,null,null,null,L3BSGJD38M0004489,1,null,null,$959,[],null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR70AUTO",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR70AUTO-Major-Powersports-11410709?ref=list
1652348738-7787,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,BED49140,2022,Benelli,302S,null,,null,"Parallel 2 cylinder, 4-stroke, liquid cooled 4 valves per cylinder, DOHC.",null,null,LBBPHE045NBD49140,null,null,null,"$4,899","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/17768581-0-111709531.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Benelli 
302S",https://www.majorpowersports.com/New-Inventory-2022-Benelli-Motorcycle-Scooter-302S-Major-Powersports-11661238?ref=list
1652348679-7766,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SRU128139,2022,SSR Motorsports,SRU170RS,null,,Belt Drive + Chain Drive w/ CVT (F-N-R),"Single Cylinder, 4 Stroke, Horizontal Type",Belt Drive + Chain Drive w/ CVT (F-N-R),null,null,null,"Matte Black, Matte Blue, Gloss Red",null,"$4,459","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18379611-0-114860331.jpg""}]",null,,Utility Vehicle,null,null,,"2022
SSR Motorsports 
SRU170RS",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Utility-Vehicle-SRU170RS-Major-Powersports-11902024?ref=list
1652348449-7695,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,BM615460,2016,BMW,R nineT Scrambler Monolith Metallic Matt,null,,null,"Air/oil-cooled flat twin ('Boxer') 4-stroke engine, two camshafts and four radially aligned valves per cylinder, central balancer shaft",null,null,WB10A160XGZ615460,11475 mi,null,null,"$15,095","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/67/17/6717976D-9164-48D0-8C5C-631EA6D698BA.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/B0/52/B0523F5B-39B2-4EFA-90DB-19354923A314.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/60/86/6086E88E-6C9E-4D49-8711-8C35AFBA10F9.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/81/5F/815FD0F2-1F03-428F-9BEF-67DB99618216.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/DB/03/DB03712D-742F-4CE7-9AE9-011B494B9946.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/CD/8F/CD8FF7AC-AE96-4E98-986E-8D697A67B294.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2016
BMW 
R nineT Scrambler Monolith Metallic Matt",https://www.majorpowersports.com/Pre-owned-Inventory-2016-BMW-Motorcycle-Scooter-R-nineT-Scrambler-Monolith-Metallic-Matt-Major-Powersports-11576703?ref=list
1652348390-7677,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,S21034,2021,SSR Motorsports,SR125,null,,4-up Manual,"YX™, Single Cylinder, 4 Stroke",4-up Manual,null,SYMYJ3131M1100515,1,"Red, Blue, Green, Orange, Black, White",null,"$1,359","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/15730141-0-101847921.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR125",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR125-Major-Powersports-11339517?ref=list
1652348701-7774,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR100752,2022,SSR Motorsports,SR125,null,,4-up Manual,"YX™, Single Cylinder, 4 Stroke",4-up Manual,null,SYMYJ3134M1100752,null,"Red, Blue, Green, Orange, Black, White",null,"$1,359","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18372751-0-114824291.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR125",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR125-Major-Powersports-11661241?ref=list
1652348466-7701,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,DU022374,2017,Ducati,Monster 821 Red,null,,null,"Testastretta 11° L-Twin, 4 Desmodromically actuated valves per cylinder, liquid cooled",null,null,ZDM1RBT57HB022374,5534 mi,null,null,"$9,695","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/63/11/63116F6B-925E-45B6-8B03-AFFBF3D7236C.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/0A/0B/0A0BBC89-2A91-49EB-B29D-F744C29386A2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/BC/E8/BCE89DFA-CCAE-45FA-A11B-4E1E6DAA37CA.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2017
Ducati 
Monster 821 Red",https://www.majorpowersports.com/Pre-owned-Inventory-2017-Ducati-Motorcycle-Scooter-Monster-821-Red-Major-Powersports-11840127?ref=list
1652348696-7772,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR100868,2022,SSR Motorsports,SR125TR,null,,4-up Manual,"YX™, Single Cylinder, 4 Stroke",4-up Manual,null,L6JYGJL32NC100868,null,"Black, White",null,"$1,739","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18374011-0-114828151.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR125TR",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR125TR-Major-Powersports-11816179?ref=list
1652348628-7749,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SRUP3681,2022,SSR Motorsports,ABT E 350,null,,null,null,null,null,SSRE0350A20UP3681,null,null,null,$539,[],null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
ABT E 350",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-ABT-E-350-Major-Powersports-12055896?ref=list
1652348471-7703,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,YA003572,2018,Yamaha,Bolt R-Spec,null,,5-speed; multiplate wet clutch,SOHC V-twin; 4 valves,5-speed; multiplate wet clutch,null,JYAVN05Y7JA003572,11043 mi,null,null,"$8,295","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/60/76/6076E68D-1BF6-4C4F-9741-5943B0375465.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/AF/28/AF285BC9-9EE5-48AA-8593-9528885A66A3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/FE/55/FE552562-970D-440D-93AE-54609CDE3236.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2018
Yamaha 
Bolt R-Spec",https://www.majorpowersports.com/Pre-owned-Inventory-2018-Yamaha-Motorcycle-Scooter-Bolt-R-Spec-Major-Powersports-11955457?ref=list
1652348561-7727,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR119858,2021,SSR Motorsports,SR125TR-BW,null,,null,null,null,null,L6JYGJL38MC119858,null,null,null,"$1,839",[],null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR125TR-BW",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR125TR-BW-Major-Powersports-11816182?ref=list
1652348614-7746,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR003795,2022,SSR Motorsports,SR 189,null,,null,null,null,null,L3BSEKA38N0003795,null,null,null,"$2,799",[],null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR 189",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR-189-Major-Powersports-12014610?ref=list
1652348423-7687,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,BMF85814,2014,BMW,F 700 GS,null,,null,Water cooled twin cylinder 4 stroke,null,null,WB10B1104EZF85814,16864 mi,null,null,"$6,795","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/91/7F/917FD0A4-63A7-45A1-8643-12752E6A8A8C.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/2D/6B/2D6B37A9-339E-443A-A244-6DCE2D855722.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/15/F7/15F7A966-1CD4-4CB5-9946-EC88E67E1F2E.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2014
BMW 
F 700 GS",https://www.majorpowersports.com/Pre-owned-Inventory-2014-BMW-Motorcycle-Scooter-F-700-GS-Major-Powersports-12049484?ref=list
1652348661-7760,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,ZEB21028,2022,Zero,DS ZF 7.2 Charge Tank Quick Charger,null,,Clutchless direct drive,null,Clutchless direct drive,null,538SDKZ42NCB21028,5,null,null,"$11,595","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/17162571-0-114451441.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Zero 
DS ZF 7.2 Charge Tank Quick Charger",https://www.majorpowersports.com/New-Inventory-2022-Zero-Motorcycle-Scooter-DS-ZF-7-2-Charge-Tank-Quick-Charger-Major-Powersports-12036567?ref=list
1652348510-7716,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,KY330243,2021,KYMCO,Mongoose 90S,null,,CVT Automatic,null,CVT Automatic,null,RFBLE0733MB330243,null,"Yellow, Black",null,"$3,995","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/79/8A/798AA5C2-8694-4DFF-AA27-1B2C1B9606F1.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/89/70/8970593D-A3EE-4CC4-93D4-482F27F7AB1A.jpg""}]",null,,ATV,null,null,,"2021
KYMCO 
Mongoose 90S",https://www.majorpowersports.com/Pre-owned-Inventory-2021-KYMCO-ATV-Mongoose-90S-Major-Powersports-11574986?ref=list
1652348403-7680,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,HA025903,1991,Harley-Davidson®,FLSTC - Heritage Softail® Classic,null,,null,"2 cylinders, 4-stroke, 45° V-twin",null,null,1HD1BJL4XMY025903,54600 mi,null,null,"$5,995","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/F5/69/F569A692-1207-4D4A-9010-BD675EFE16D7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/00/78/0078521E-B1CC-435D-9E94-ED2E9059D865.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/25/F3/25F38605-4CDD-4E3B-9979-750EFF7F7FE7.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/DF/42/DF423BCB-4B49-4FD3-BC7A-12B923D66F63.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/EE/E6/EEE6F531-C6AF-4FE6-A3CC-8D82A5E48B87.jpg""}]",null,,Motorcycle / Scooter,null,null,,"1991
Harley-Davidson® 
FLSTC - Heritage Softail® Classic",https://www.majorpowersports.com/Pre-owned-Inventory-1991-Harley-Davidson-Motorcycle-Scooter-FLSTC-Heritage-Softail-Classic-Major-Powersports-11932495?ref=list
1652348684-7768,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR000007,2022,SSR Motorsports,SR250S,null,,"5-speed Manual; 1-down, 4-up","Single Cylinder, 4 Stroke","5-speed Manual; 1-down, 4-up",null,LSSLFNC30N0000077,null,White,null,"$3,999","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18379381-0-114850681.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR250S",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR250S-Major-Powersports-11519205?ref=list
1652348566-7729,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR119274,2021,SSR Motorsports,SR125 Semi,null,,null,null,null,null,L6JYGJL34MC119274,null,null,null,"$1,359",[],null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR125 Semi",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR125-Semi-Major-Powersports-11665485?ref=list
1652348664-7761,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,VA000003,2022,Vanderhall,Venice GTS,null,,6 Speed Automatic with Bump Shifter and Shift Gauge,null,6 Speed Automatic with Bump Shifter and Shift Gauge,null,null,null,null,null,"$36,950","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/6F/90/6F90645D-840C-414E-80BD-15AB688B88DF.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/82/D1/82D13718-B6CD-4EB2-AA82-58FCB69BECDD.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/AE/9E/AE9E7D5C-C694-4B51-A019-E95417585677.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Vanderhall 
Venice GTS",https://www.majorpowersports.com/New-Inventory-2022-Vanderhall-Motorcycle-Scooter-Venice-GTS-Major-Powersports-11859947?ref=list
1652348480-7706,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,SU100293,2019,Suzuki,DR650S,null,,5-speed constant mesh,null,5-speed constant mesh,null,JS1SP46A0L7100293,556 mi,Solid Black,null,"$6,595","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/82/BF/82BFDE35-C3C9-4A87-9DBD-6790A24FEAF3.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/45/68/45683EFC-E43A-42DA-934D-B588F31FF80A.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2019
Suzuki 
DR650S",https://www.majorpowersports.com/Pre-owned-Inventory-2019-Suzuki-Motorcycle-Scooter-DR650S-Major-Powersports-11848884?ref=list
1652348687-7769,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR008547,2022,SSR Motorsports,SR189,null,,"5-speed Manual; 1-down, 4-up","Single Cylinder, 4 Stroke","5-speed Manual; 1-down, 4-up",null,L3BSEKA38M0008547,null,"White, Blue",null,"$2,799","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/18379691-0-114852791.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR189",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR189-Major-Powersports-11661242?ref=list
1652348588-7737,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR101052,2021,SSR Motorsports,SR110 DX,null,,null,null,null,null,SYMYH3139M1101052,null,null,null,"$1,059",[],null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR110 DX",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR110-DX-Major-Powersports-11665490?ref=list
1652348603-7742,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR000438,2022,SSR Motorsports,SR250,null,,null,null,null,null,L3BSEKA32N0000438,null,null,null,"$4,599",[],null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
SR250",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-SR250-Major-Powersports-11661237?ref=list
1652348707-7776,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,BED44554,2022,Benelli,TRK502X,null,,null,"Inline 2 cylinder, 4-stroke, 4 valves per cylinder, DOHC",null,null,LBBPHF059NBD44554,null,null,null,"$7,099","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/trimsdb/17772431-0-111725251.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2022
Benelli 
TRK502X",https://www.majorpowersports.com/New-Inventory-2022-Benelli-Motorcycle-Scooter-TRK502X-Major-Powersports-11661229?ref=list
1652348621-7748,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SRUP3670,2022,SSR Motorsports,ABT350R,null,,null,null,null,null,SSREQ350A20UP3670,null,null,null,$599,[],null,,Motorcycle / Scooter,null,null,,"2022
SSR Motorsports 
ABT350R",https://www.majorpowersports.com/New-Inventory-2022-SSR-Motorsports-Motorcycle-Scooter-ABT350R-Major-Powersports-11661236?ref=list
1652348421-7686,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,YA000249,2014,Yamaha,V Star® 1300 Deluxe,null,,5-speed; multiplate wet clutch,"80-cubic-inch (1304cc) liquid-cooled V-twin; SOHC, 4 valves/cylinder",5-speed; multiplate wet clutch,null,JYAVP32YXEA000249,11274 mi,null,null,"$8,495","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/A9/12/A91280D6-FB48-46EA-BAF6-ADE66DDC91F2.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/70/4E/704E7701-5617-4D35-8E75-0C038A6D7755.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/9E/F8/9EF80386-0A2D-440E-A239-D5F65D0CE644.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2014
Yamaha 
V Star® 1300 Deluxe",https://www.majorpowersports.com/Pre-owned-Inventory-2014-Yamaha-Motorcycle-Scooter-V-Star-1300-Deluxe-Major-Powersports-11687881?ref=list
1652348406-7681,https://www.majorpowersports.com/,"Pre-Owned
							Inventory
						
						
							.02",https://www.majorpowersports.com/default.asp?page=xPreOwnedInventory,HA068221,2004,Harley-Davidson®,FXSTB - Night Train™,null,,null,"2 cylinders, 4-stroke, 45° V-twin",null,null,1HD1JAB19Y068221,20526 mi,null,null,"$8,995","[{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/D4/52/D452B1B1-6129-428F-928E-F248FD4F13F6.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/4E/CC/4ECCABB6-1ED4-4F12-A28D-D06977242DD4.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/1A/18/1A188DC4-E376-471B-B855-10B182DC6273.jpg""},{""photo urls"":"""",""photo urls-src"":""https://cdn.dealerspike.com/imglib/v1/200x150/imglib/Assets/Inventory/09/47/09471198-C0FB-4CB2-91A1-FE43AAE11F1D.jpg""}]",null,,Motorcycle / Scooter,null,null,,"2004
Harley-Davidson® 
FXSTB - Night Train™",https://www.majorpowersports.com/Pre-owned-Inventory-2004-Harley-Davidson-Motorcycle-Scooter-FXSTB-Night-Train-Major-Powersports-12081376?ref=list
1652348556-7725,https://www.majorpowersports.com/,"New
							Inventory
						
						
							.01",https://www.majorpowersports.com/default.asp?page=xNewInventory,SR100050,2021,SSR Motorsports,SR70 AUTO,null,,null,null,null,null,SYMYD3136M1100050,1,null,null,$959,[],null,,Motorcycle / Scooter,null,null,,"2021
SSR Motorsports 
SR70 AUTO",https://www.majorpowersports.com/New-Inventory-2021-SSR-Motorsports-Motorcycle-Scooter-SR70-AUTO-Major-Powersports-11410754?ref=list