web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,Vehicle Type,description,trim,certified,condition,Make and Model
1654596693-14234,https://www.wrightsautoemporia.com/,2014 Ford Flex Limited,https://www.wrightsautoemporia.com/Listing/318765/2014-Ford-Flex-Limited.aspx,9178,2014,Ford,Flex,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMHK6D88EBD18725,110800,Mineral Gray Metallic,Dune,"$18,595","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/12022143114943705.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/22022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/32022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/42022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/52022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/62022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/72022143114943752.jpg""}]",4,Wagon 4 Dr.,null,,,null,Year
1654596701-14254,https://www.wrightsautoemporia.com/,2007 GMC Envoy Denali,https://www.wrightsautoemporia.com/Listing/318775/2007-GMC-Envoy-Denali.aspx,9177,2007,GMC,Envoy,Wagon 4 Dr.,,,8 Cylinder Engine,null,Gasoline Fuel,1GKET63M172144299,158569,Graphite Metallic,Ebony,"$8,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/12022143121523970.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/22022143121523985.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/32022143121523985.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/420221431215241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/520221431215241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/620221431215241.jpg""}]",4,Wagon 4 Dr.,null,,,null,Series
1654596701-14253,https://www.wrightsautoemporia.com/,2007 GMC Envoy Denali,https://www.wrightsautoemporia.com/Listing/318775/2007-GMC-Envoy-Denali.aspx,9177,2007,GMC,Envoy,Wagon 4 Dr.,,,8 Cylinder Engine,null,Gasoline Fuel,1GKET63M172144299,158569,Graphite Metallic,Ebony,"$8,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/12022143121523970.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/22022143121523985.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/32022143121523985.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/420221431215241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/520221431215241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/620221431215241.jpg""}]",4,Wagon 4 Dr.,null,,,null,Model
1654596683-14212,https://www.wrightsautoemporia.com/,2006 GMC Sierra 1500 Work Truck,https://www.wrightsautoemporia.com/Listing/314092/2006-GMC-Sierra-1500-Work-Truck.aspx,9137,2006,GMC,Sierra 1500,Pickup,,,V6 Cylinder Engine,null,Gasoline Fuel,3GTEC14X66G160611,214000,Summit White,Pewter,"$5,995",[],2,Pickup,null,,,null,Make
1654596704-14258,https://www.wrightsautoemporia.com/,2011 Toyota Prius,https://www.wrightsautoemporia.com/Listing/318776/2011-Toyota-Prius.aspx,9157,2011,Toyota,Prius,null,,,Hybrid,null,null,JTDKN3DU9B5322599,193000,null,null,"$8,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318776/Thumb/1202214312194548.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318776/Thumb/2202214312194564.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318776/Thumb/3202214312194564.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318776/Thumb/4202214312194579.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318776/Thumb/5202214312194579.jpg""}]",4,null,null,,,null,Make
1654596688-14222,https://www.wrightsautoemporia.com/,2008 Chevrolet TrailBlazer Fleet w/2FL,https://www.wrightsautoemporia.com/Listing/317356/2008-Chevrolet-TrailBlazer-Fleet-w2FL.aspx,9150,2008,Chevrolet,TrailBlazer,Wagon 4 Dr.,,,Straight 6 Cylinder Engine,null,Gasoline Fuel,1GNDS13S582218845,117997,Summit White,Light gray/dark gray,"$6,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/3202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/4202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/5202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/1202214311523075.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/2202214311523075.jpg""}]",4,Wagon 4 Dr.,null,,,null,Year
1654596688-14225,https://www.wrightsautoemporia.com/,2008 Chevrolet TrailBlazer Fleet w/2FL,https://www.wrightsautoemporia.com/Listing/317356/2008-Chevrolet-TrailBlazer-Fleet-w2FL.aspx,9150,2008,Chevrolet,TrailBlazer,Wagon 4 Dr.,,,Straight 6 Cylinder Engine,null,Gasoline Fuel,1GNDS13S582218845,117997,Summit White,Light gray/dark gray,"$6,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/3202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/4202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/5202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/1202214311523075.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/2202214311523075.jpg""}]",4,Wagon 4 Dr.,null,,,null,Series
1654596677-14204,https://www.wrightsautoemporia.com/,2002 Volvo C70,https://www.wrightsautoemporia.com/Listing/300782/2002-Volvo-C70.aspx,8893,2002,Volvo,C70,Convertible,,,5 Cylinder Engine,null,Gasoline Fuel,YV1NC56D32J029245,108000,Silver Metallic,Gray,"$5,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/22021257114513406.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/32021257114513406.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/42021257114513422.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/52021257114513437.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/12021257114513375.jpg""}]",2,Convertible,null,,,null,Model
1654596685-14216,https://www.wrightsautoemporia.com/,2013 Ford Edge Limited,https://www.wrightsautoemporia.com/Listing/317354/2013-Ford-Edge-Limited.aspx,9174,2013,Ford,Edge,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMDK3KC0DBB71089,137732,Ingot Silver Metallic,Charcoal Black,"$13,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/120221431155599.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/2202214311555114.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/3202214311555130.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/4202214311555146.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/5202214311555177.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/6202214311555193.jpg""}]",4,Wagon 4 Dr.,null,,,null,Year
1654596683-14210,https://www.wrightsautoemporia.com/,2006 GMC Sierra 1500 Work Truck,https://www.wrightsautoemporia.com/Listing/314092/2006-GMC-Sierra-1500-Work-Truck.aspx,9137,2006,GMC,Sierra 1500,Pickup,,,V6 Cylinder Engine,null,Gasoline Fuel,3GTEC14X66G160611,214000,Summit White,Pewter,"$5,995",[],2,Pickup,null,,,null,Type
1654596677-14200,https://www.wrightsautoemporia.com/,2002 Volvo C70,https://www.wrightsautoemporia.com/Listing/300782/2002-Volvo-C70.aspx,8893,2002,Volvo,C70,Convertible,,Automatic,5 Cylinder Engine,null,Gasoline Fuel,YV1NC56D32J029245,108000,Silver Metallic,Gray,"$5,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/22021257114513406.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/32021257114513406.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/42021257114513422.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/52021257114513437.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/12021257114513375.jpg""}]",2,Convertible,null,,,null,
1654596693-14237,https://www.wrightsautoemporia.com/,2014 Ford Flex Limited,https://www.wrightsautoemporia.com/Listing/318765/2014-Ford-Flex-Limited.aspx,9178,2014,Ford,Flex,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMHK6D88EBD18725,110800,Mineral Gray Metallic,Dune,"$18,595","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/12022143114943705.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/22022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/32022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/42022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/52022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/62022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/72022143114943752.jpg""}]",4,Wagon 4 Dr.,null,,,null,Series
1654596696-14239,https://www.wrightsautoemporia.com/,2006 Kia Sportage LX,https://www.wrightsautoemporia.com/Listing/318770/2006-Kia-Sportage-LX.aspx,9124,2006,Kia,Sportage,Wagon 4 Dr.,,,4 Cylinder Engine,null,Gasoline Fuel,KNDJE724967292925,165000,Smart Blue,Black,"$4,495","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318770/Thumb/12022143115841977.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318770/Thumb/22022143115841993.jpg""}]",4,Wagon 4 Dr.,null,,,null,Type
1654596693-14236,https://www.wrightsautoemporia.com/,2014 Ford Flex Limited,https://www.wrightsautoemporia.com/Listing/318765/2014-Ford-Flex-Limited.aspx,9178,2014,Ford,Flex,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMHK6D88EBD18725,110800,Mineral Gray Metallic,Dune,"$18,595","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/12022143114943705.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/22022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/32022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/42022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/52022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/62022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/72022143114943752.jpg""}]",4,Wagon 4 Dr.,null,,,null,Model
1654596696-14240,https://www.wrightsautoemporia.com/,2006 Kia Sportage LX,https://www.wrightsautoemporia.com/Listing/318770/2006-Kia-Sportage-LX.aspx,9124,2006,Kia,Sportage,Wagon 4 Dr.,,,4 Cylinder Engine,null,Gasoline Fuel,KNDJE724967292925,165000,Smart Blue,Black,"$4,495","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318770/Thumb/12022143115841977.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318770/Thumb/22022143115841993.jpg""}]",4,Wagon 4 Dr.,null,,,null,Year
1654596701-14250,https://www.wrightsautoemporia.com/,2007 GMC Envoy Denali,https://www.wrightsautoemporia.com/Listing/318775/2007-GMC-Envoy-Denali.aspx,9177,2007,GMC,Envoy,Wagon 4 Dr.,,,8 Cylinder Engine,null,Gasoline Fuel,1GKET63M172144299,158569,Graphite Metallic,Ebony,"$8,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/12022143121523970.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/22022143121523985.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/32022143121523985.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/420221431215241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/520221431215241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318775/Thumb/620221431215241.jpg""}]",4,Wagon 4 Dr.,null,,,null,Type
1654596680-14208,https://www.wrightsautoemporia.com/,1953 M G TD,https://www.wrightsautoemporia.com/Listing/314091/1953-M-G-TD.aspx,9142,1953,M G,TD,2 Door,,,null,null,null,PAGTD217542,89662,Red,Tan,"$34,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/22022909337225.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/32022909337225.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/42022909337225.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/52022909337241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/62022909337241.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/72022909337256.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/82022909337256.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/92022909337256.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/102022909337272.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/314091/Thumb/12022909337190.jpg""}]",2,2 Door,null,,,null,Model
1654596688-14221,https://www.wrightsautoemporia.com/,2008 Chevrolet TrailBlazer Fleet w/2FL,https://www.wrightsautoemporia.com/Listing/317356/2008-Chevrolet-TrailBlazer-Fleet-w2FL.aspx,9150,2008,Chevrolet,TrailBlazer,Wagon 4 Dr.,,,Straight 6 Cylinder Engine,null,Gasoline Fuel,1GNDS13S582218845,117997,Summit White,Light gray/dark gray,"$6,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/3202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/4202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/5202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/1202214311523075.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/2202214311523075.jpg""}]",4,Wagon 4 Dr.,null,,,null,Type
1654596685-14218,https://www.wrightsautoemporia.com/,2013 Ford Edge Limited,https://www.wrightsautoemporia.com/Listing/317354/2013-Ford-Edge-Limited.aspx,9174,2013,Ford,Edge,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMDK3KC0DBB71089,137732,Ingot Silver Metallic,Charcoal Black,"$13,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/120221431155599.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/2202214311555114.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/3202214311555130.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/4202214311555146.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/5202214311555177.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317354/Thumb/6202214311555193.jpg""}]",4,Wagon 4 Dr.,null,,,null,Model
1654596690-14228,https://www.wrightsautoemporia.com/,2008 Ford Expedition SSV,https://www.wrightsautoemporia.com/Listing/318764/2008-Ford-Expedition-SSV.aspx,8892,2008,Ford,Expedition,Wagon 4 Dr.,,,8 Cylinder Engine,null,Gasoline Fuel,1FMFU16598LA33172,204000,Gray,Charcoal Black/Tan,"$4,995",[],4,Wagon 4 Dr.,null,,,null,Year
